part_id,min_stock_level,reorder_quantity,reorder_interval_days
P300,63,79,18
P301,39,54,13
P302,41,146,13
P303,79,124,15
P304,45,119,14
P305,75,62,7
P306,25,66,18
P307,52,187,8
P308,30,58,10
P309,49,193,17
P310,77,30,9
P311,37,59,12
P312,50,77,16
P313,72,42,8
P314,70,74,11
P315,79,66,8
P316,32,145,9
P317,55,78,8
P318,71,199,9
P319,74,109,10
P320,67,88,10
P321,18,155,8
P322,50,148,21
P323,71,165,9
P324,25,183,11
P325,56,121,21
P326,19,132,17
P327,56,111,12
P328,49,144,19
P329,74,126,16
P330,44,155,11
P331,62,43,13
P332,30,93,9
P333,64,92,21
P334,33,148,9
P335,60,66,10
P336,16,64,9
P337,20,89,11
P338,15,104,8
